"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm10444",0.0607877388664143,0.272657642251482,3.11653965008542,0.087487300937759,0.930284179109985,NA
"Gm10447",3.40088439731691,-0.0722292765328151,0.662153843332915,-0.109082318648568,0.913137198870096,NA
"Gm10471",0,NA,NA,NA,NA,NA
"Gm10477",0,NA,NA,NA,NA,NA
"Gm10478",2.3142071429437,-1.51126169135381,0.771406140319605,-1.95909989869626,0.0501010886789176,NA
"Gm10481",2.07059396626438,-0.0294219676411146,0.95060967614949,-0.0309506292427933,0.975308912945589,NA
"Gm10486",0,NA,NA,NA,NA,NA
"Gm10487",0,NA,NA,NA,NA,NA
"Gm10488",0,NA,NA,NA,NA,NA
"Gm10490",4.35257731028794,0.641706541513694,0.544258413062214,1.17904753718587,0.238379247264237,NA
"Gm10491",0,NA,NA,NA,NA,NA
"Gm10493",0,NA,NA,NA,NA,NA
"Gm10499",2.21849477080452,0.425727537622871,0.997455145413246,0.426813716466911,0.669515015105488,NA
"Gm10509",5.9115537355979,0.402412455349966,0.480312896559363,0.837813138544847,0.402135658573315,0.884169032618415
"Gm10518",0.140204251488144,-0.206845430688619,3.11653965008542,-0.0663702227189534,0.947083076742609,NA
"Gm10521",2.2285544185538,0.132156668012979,0.859892685717927,0.153689722226955,0.877854388971891,NA
"Gm10540",0,NA,NA,NA,NA,NA
"Gm10542",0,NA,NA,NA,NA,NA
"Gm10548",2.65099117305168,0.335575763385697,0.710475706806301,0.472325457677029,0.63669450192031,NA
"Gm10553",0,NA,NA,NA,NA,NA
"Gm10557",11.2843873650748,-0.269534690490217,0.502633562753286,-0.536244911728102,0.591789297750396,0.940416725098215
"Gm10563",1.33474525559733,0.136832523716033,1.03274804687335,0.132493616550808,0.894593871768979,NA
"Gm10566",4.60589262502471,0.1478490003859,0.658962944063999,0.22436618282976,0.822472382117825,NA
"Gm10570",1.28879077605358,0.222794245170448,1.14858992666234,0.193971965101471,0.846197833578829,NA
"Gm10571",0.106279795052105,-0.689127374341415,3.11653965008542,-0.221119398985515,0.824999465879279,NA
"Gm10577",0,NA,NA,NA,NA,NA
"Gm10580",0.187885990789847,-0.209668578171453,3.11653965008542,-0.067276082358107,0.94636191725452,NA
"Gm10581",0,NA,NA,NA,NA,NA
"Gm10582",0.189906563972663,-1.17122468252964,3.11653965008542,-0.375809331512126,0.707058649959528,NA
"Gm10583",0,NA,NA,NA,NA,NA
"Gm10591",0,NA,NA,NA,NA,NA
"Gm10600",7.80377242127399,-1.88363877840848,0.645945544909502,-2.91609531678461,0.00354442199485328,0.125427261330529
"Gm10601",1.16991835936112,2.35161012173065,1.27252038436853,1.8479940680067,0.0646032009832212,NA
"Gm10608",0.676371813478111,0.765599561037302,1.64222075951655,0.466197712214213,0.64107398677595,NA
"Gm10617",3.34288614273214,0.527660980420127,0.722287900532663,0.730541076530557,0.465059514289956,NA
"Gm10620",0,NA,NA,NA,NA,NA
"Gm10638",5.13017487505932,0.147559184845751,0.544202591864838,0.271147523094488,0.786277571971033,NA
"Gm10642",3.74332677114872,-0.470047703848832,0.698263955848838,-0.673166214454565,0.500841552633766,NA
"Gm10643",14.5338211626355,-0.338176057385344,0.308176047613429,-1.09734698723097,0.272489738072841,0.81759882969204
