"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Elapor2",3.12560584692366,0.452828903489358,0.654172192724452,0.692216680142649,0.488801265184327,0.961830820839011
"Elavl1",399.215840216629,0.0567861499498958,0.0827267139901089,0.686430624534239,0.492441598267302,0.963637237208862
"Elavl2",0,NA,NA,NA,NA,NA
"Elavl3",18.5155297296248,0.0728549264682882,0.36967630091084,0.19707762247345,0.843766794682535,0.989227469877999
"Elavl4",0,NA,NA,NA,NA,NA
"Elf1",554.564340353148,-0.0107033394797856,0.0856058540589867,-0.125030461963622,0.900499434399251,0.994053173944436
"Elf2",352.746383528773,0.120416795040022,0.0879730899800996,1.36879124135871,0.171064539511215,0.892040878833889
"Elf3",220.859526226799,-0.0728171996604272,0.126904284861081,-0.573796225558014,0.566105703210654,0.971581996744209
"Elf4",72.6098118709076,0.0666523861877588,0.160333949278276,0.415709751352017,0.677622404846662,0.982964952839306
"Elf5",16.6739707881112,-0.896902328752926,0.458518000456888,-1.95608967992361,0.0504545906545681,0.744731980680914
"Elfn1",109.462746721688,-0.630512352895192,0.644612697718156,-0.978125865542398,0.328012076525837,0.940188567114091
"Elfn2",0,NA,NA,NA,NA,NA
"Elk1",116.962636345527,0.145000486441871,0.127880438504755,1.13387542408591,0.256846807239502,0.924708043073122
"Elk3",355.320642867411,0.074398653844739,0.1196840081698,0.621625687361563,0.534188026210459,0.971581996744209
"Elk4",338.308876248508,0.345386559042019,0.18779635333204,1.83915477012137,0.0658924251109478,0.780970491913231
"Ell",168.429577226779,-0.0195866649451537,0.108635620139267,-0.180296894518061,0.856919493538541,0.990097116112228
"Ell2",541.073775461066,0.00721338551238963,0.116164997405283,0.0620960330005704,0.95048635611073,0.998587581976705
"Ell3",140.923697430905,0.0799251490910988,0.120622181714202,0.662607390740705,0.507582035504903,0.966555493843132
"Elmo1",52.4498859836337,-0.266215442616763,0.200323531970275,-1.3289274604856,0.183871903105394,0.894373895504718
"Elmo2",448.121550333761,0.015956899113632,0.0812080962719242,0.196493943906781,0.844223572338663,0.989451159612211
"Elmo3",416.485396118167,0.0946970810163689,0.0928979658006751,1.01936657277894,0.308028969460414,0.934810807128823
"Elmod1",4.79703226438896,-0.289279437402303,0.51698092244869,-0.559555343033018,0.575782772224787,0.973041347902465
"Elmod2",273.863979569616,0.00778884168271888,0.0753228663682023,0.103406071200803,0.917640693858134,0.996103419748999
"Elmod3",267.870294639979,-0.0654596495695166,0.0852126185901488,-0.768191972650917,0.442373141863258,0.955510370904286
"Eln",244.752457167771,0.0411939970554183,0.17571598065748,0.234435120250771,0.814647196182965,0.987591106045042
"Eloa",558.376008776226,-0.0353506244035877,0.0678862595272785,-0.520733129940425,0.602552691937026,0.975692449038252
"Elob",808.078632637576,-0.0674958109389839,0.089889986284884,-0.750871300892991,0.452730113615464,0.956172983259174
"Elobl",0.758455425834518,-2.07473945297641,1.60845517048487,-1.28989572793066,0.197086864265516,NA
"Eloc",540.525300028797,-0.0437021419182704,0.0818351122802249,-0.534026785087344,0.593323002628156,0.974290596431217
"Elof1",408.291512336303,-0.10146083943439,0.0645285071350409,-1.57234134089077,0.115871410301008,0.860516207483056
"Elovl1",834.00021568469,-0.0365976352644098,0.0741372460454713,-0.493647083167387,0.621555442899535,0.978838976074492
"Elovl2",1096.3113065413,0.111540631353615,0.0910248139801382,1.22538708376766,0.220429411123625,0.916202349896561
"Elovl3",0,NA,NA,NA,NA,NA
"Elovl4",1.96329755041458,-0.841592284745169,0.917906425718886,-0.916860652855819,0.359215664716614,0.944687791249049
"Elovl5",747.075989062119,-0.104285334681233,0.0760152050882104,-1.37190098428619,0.170094263956296,0.89171804898752
